iteration,self_score_mean,gt_score_train,gap,num_hard_negatives,gt_score_val,loss
1,0.465,0.36,0.10500000000000004,25,0.4,0.06242255338778099
2,0.55,0.39,0.16000000000000003,33,0.4,0.03759112282256995
3,0.565,0.41,0.15499999999999997,35,0.4,0.0271485955614982
4,0.62,0.41,0.21000000000000002,44,0.38,0.019460413755188064
5,0.62,0.4,0.21999999999999997,47,0.42,0.018424919505994165
6,0.655,0.43,0.22500000000000003,47,0.36,0.01748645460853974
7,0.615,0.415,0.2,45,0.4,0.013090794815892173
8,0.63,0.425,0.20500000000000002,44,0.38,0.009052869703737088
9,0.67,0.43,0.24000000000000005,50,0.44,0.008055693213143112
10,0.675,0.425,0.25000000000000006,52,0.44,0.005552154102855746
11,0.71,0.445,0.26499999999999996,55,0.46,0.005631970911053941
12,0.725,0.44,0.285,58,0.44,0.0034945153637562652
13,0.75,0.44,0.31,63,0.46,0.004087864851738375
14,0.745,0.445,0.3,62,0.4,0.003262612787933138
15,0.75,0.455,0.295,62,0.44,0.003252789674565735
16,0.74,0.445,0.295,61,0.42,0.002165462972747313
17,0.75,0.45,0.3,63,0.46,0.002555614795327481
18,0.755,0.44,0.315,64,0.44,0.0016403882986388023
19,0.76,0.44,0.32,65,0.46,0.0018324777629459277
20,0.77,0.45,0.32,67,0.46,0.0010110629279948531
