iteration,self_score_mean,gt_score_train,gap,num_hard_negatives,gt_score_val,loss
1,0.4925,0.32,0.1725,75,0.39,0.05981162276118994
2,0.4975,0.295,0.2025,85,0.37,0.03658700857311487
3,0.51,0.3225,0.1875,79,0.37,0.022640814803832888
4,0.5025,0.3075,0.19499999999999995,85,0.37,0.017675579708142607
5,0.55,0.34,0.21000000000000002,89,0.37,0.014743291294540871
6,0.545,0.35,0.19500000000000006,83,0.42,0.015652205430987207
7,0.5575,0.33,0.22749999999999998,92,0.36,0.01433086336640242
8,0.545,0.3375,0.20750000000000002,87,0.36,0.014619973005557603
9,0.5875,0.355,0.23250000000000004,97,0.41,0.017119984410829462
10,0.605,0.36,0.245,98,0.41,0.015746231820648077
11,0.615,0.3725,0.2425,101,0.41,0.010476844978608912
12,0.6375,0.3675,0.26999999999999996,110,0.4,0.008477405872326926
13,0.6325,0.3675,0.26499999999999996,108,0.38,0.008491804555887938
14,0.6675,0.3775,0.29,118,0.37,0.006950688708239972
15,0.6675,0.3775,0.29,120,0.43,0.0058598258252839435
16,0.6775,0.38,0.2975,122,0.39,0.00604583065946559
17,0.6925,0.3825,0.31,129,0.43,0.0037568487917139593
18,0.6925,0.3725,0.32,131,0.42,0.005401142652512395
19,0.7075,0.3725,0.335,136,0.41,0.0033652150497647188
20,0.695,0.375,0.31999999999999995,130,0.42,0.004036610538605601
