iteration,self_score_mean,gt_score_train,gap,num_hard_negatives,gt_score_val,loss
1,0.48,0.35,0.13,31,0.46,0.0650231633335352
2,0.53,0.4,0.13,29,0.38,0.03689907125576779
3,0.55,0.4,0.15000000000000002,35,0.38,0.025641187227198055
4,0.615,0.41,0.20500000000000002,43,0.4,0.017500283316739144
5,0.635,0.42,0.21500000000000002,43,0.42,0.017176028282847255
6,0.64,0.415,0.22500000000000003,48,0.4,0.014697196551423986
7,0.62,0.415,0.20500000000000002,41,0.42,0.012937252552458835
8,0.67,0.43,0.24000000000000005,50,0.38,0.009763573337455882
9,0.69,0.43,0.25999999999999995,54,0.38,0.0072374874692676325
10,0.74,0.44,0.3,60,0.34,0.006420190430346977
11,0.715,0.45,0.26499999999999996,54,0.36,0.003994709902649952
12,0.74,0.45,0.29,59,0.38,0.003536256294496156
13,0.735,0.455,0.27999999999999997,57,0.38,0.002060646074824035
14,0.735,0.455,0.27999999999999997,56,0.36,0.001624303819561327
15,0.74,0.455,0.285,57,0.38,0.0015834498162557546
16,0.75,0.46,0.29,59,0.38,0.0009869079953396546
17,0.74,0.46,0.27999999999999997,57,0.36,0.0010583623103180748
18,0.75,0.46,0.29,59,0.36,0.000992385428138445
19,0.755,0.46,0.295,59,0.36,0.0011917802238665324
20,0.76,0.465,0.295,59,0.38,0.0012349683303526898
