iteration,self_score_mean,gt_score_train,gap,num_hard_negatives,gt_score_val,loss
1,0.495,0.3125,0.1825,75,0.38,0.07631427079439163
2,0.5225,0.33,0.19249999999999995,84,0.46,0.038965295297357275
3,0.565,0.35,0.21499999999999997,90,0.35,0.026852902956306934
4,0.555,0.355,0.20000000000000007,85,0.45,0.018632722103835216
5,0.6225,0.3575,0.26500000000000007,109,0.4,0.015661374662101032
6,0.61,0.3375,0.27249999999999996,110,0.37,0.01609038521886849
7,0.635,0.3675,0.2675,107,0.4,0.021680882531654788
8,0.5725,0.325,0.2475,100,0.41,0.023560632200879526
9,0.6325,0.37,0.26249999999999996,106,0.37,0.016855653550010175
10,0.6425,0.3625,0.27999999999999997,117,0.43,0.015556374922967874
11,0.665,0.38,0.28500000000000003,115,0.4,0.01322137877178281
12,0.66,0.3575,0.30250000000000005,123,0.39,0.01022685444772695
13,0.685,0.39,0.29500000000000004,119,0.35,0.007486344747029353
14,0.6925,0.37,0.3225,130,0.39,0.005995183770677873
15,0.715,0.385,0.32999999999999996,132,0.36,0.005702203912531129
16,0.71,0.37,0.33999999999999997,137,0.39,0.007721456833524813
17,0.7375,0.3775,0.36000000000000004,144,0.34,0.0050412240639530325
18,0.7025,0.375,0.3275,132,0.37,0.006665766744999031
19,0.7425,0.3825,0.36000000000000004,146,0.37,0.003362957847615083
20,0.7175,0.38,0.3375,136,0.39,0.00434394753392553
