iteration,self_score_mean,gt_score_train,gap,num_hard_negatives,gt_score_val,loss
1,0.465,0.36,0.10500000000000004,25,0.42,0.062392639772345625
2,0.515,0.405,0.10999999999999999,25,0.38,0.03683829493820667
3,0.635,0.37,0.265,56,0.38,0.19153965276200324
4,0.51,0.425,0.08500000000000002,22,0.4,0.02238381510743728
5,0.51,0.42,0.09000000000000002,24,0.4,0.019487689392497905
6,0.63,0.305,0.325,67,0.46,0.21399369870778173
7,0.5,0.395,0.10499999999999998,24,0.46,0.016284832954406737
8,0.47,0.405,0.06499999999999995,22,0.46,0.01916688067528109
9,0.68,0.27,0.41000000000000003,84,0.46,0.19478803385487375
10,0.565,0.445,0.11999999999999994,32,0.44,0.02069589593608318
11,0.59,0.435,0.15499999999999997,37,0.4,0.013111893696865688
12,0.755,0.28,0.475,97,0.46,0.14789697145553013
13,0.585,0.45,0.13499999999999995,32,0.46,0.00708510292849193
14,0.63,0.455,0.175,38,0.5,0.010199138545431197
15,0.8,0.39,0.41000000000000003,83,0.46,0.1234273997368291
16,0.635,0.485,0.15000000000000002,35,0.44,0.008037419662286993
17,0.63,0.475,0.15500000000000003,34,0.44,0.011062465708164382
18,0.81,0.445,0.36500000000000005,78,0.46,0.0987283016424399
19,0.685,0.495,0.19000000000000006,41,0.52,0.010493949456473015
20,0.695,0.525,0.16999999999999993,39,0.42,0.0119760673867339
