iteration,self_score_mean,gt_score_train,gap,num_hard_negatives,gt_score_val,loss
1,0.48,0.35,0.13,31,0.4,0.06508720045288403
2,0.55,0.365,0.18500000000000005,40,0.38,0.03692805168351957
3,0.6,0.31,0.29,62,0.4,0.265004677635928
4,0.565,0.415,0.14999999999999997,31,0.42,0.02683248602110764
5,0.5,0.385,0.11499999999999999,26,0.4,0.022518919333815574
6,0.54,0.22,0.32000000000000006,66,0.44,0.26658934237504445
7,0.54,0.395,0.14500000000000002,32,0.42,0.019630359968653432
8,0.54,0.43,0.11000000000000004,28,0.4,0.021897883188945276
9,0.73,0.32,0.41,82,0.42,0.18460389609272415
10,0.545,0.415,0.13000000000000006,30,0.42,0.014738089288584888
11,0.59,0.41,0.18,37,0.44,0.014146397961303592
12,0.735,0.285,0.45,91,0.44,0.16804559569101077
13,0.63,0.435,0.195,40,0.44,0.009616526163881645
14,0.635,0.465,0.16999999999999998,40,0.42,0.012134615717513952
15,0.74,0.33,0.41,94,0.38,0.11067887803388608
16,0.655,0.465,0.19,41,0.4,0.007181228720583022
17,0.66,0.49,0.17000000000000004,37,0.36,0.0137876969688064
18,0.75,0.4,0.35,77,0.4,0.14791299639833405
19,0.695,0.525,0.16999999999999993,38,0.4,0.012683389417361468
20,0.69,0.525,0.16499999999999992,39,0.42,0.01815078609756061
