iteration,self_score_mean,gt_score_train,gap,num_hard_negatives,gt_score_val,loss
1,0.7125,0.3675,0.34500000000000003,138,0.38,0.006349123941213798
2,0.7575,0.2475,0.51,205,0.44,0.24623476120177656
3,0.46,0.225,0.23500000000000001,99,0.44,0.21753056776588378
4,0.56,0.3,0.26000000000000006,121,0.44,0.27792348998731803
5,0.5775,0.3275,0.25,116,0.45,0.22696439234604096
6,0.6375,0.39,0.24749999999999994,118,0.49,0.19893210346344858
7,0.5525,0.325,0.22749999999999998,124,0.48,0.16702945427303867
8,0.645,0.325,0.32,146,0.42,0.18347442890875615
9,0.61,0.3725,0.2375,125,0.46,0.1560834595765613
10,0.575,0.32,0.25499999999999995,130,0.46,0.1541342175051827
11,0.615,0.3825,0.23249999999999998,129,0.42,0.14037875192720564
12,0.52,0.475,0.04500000000000004,83,0.37,0.1230976229461913
13,0.56,0.38,0.18000000000000005,111,0.35,0.13433306281720953
14,0.545,0.415,0.13000000000000006,103,0.34,0.13601444640450858
15,0.4775,0.425,0.05249999999999999,71,0.33,0.14395791521140686
16,0.51,0.4425,0.0675,78,0.29,0.15440700597622814
17,0.5775,0.375,0.2025,112,0.37,0.12315437611963215
18,0.5425,0.4175,0.125,96,0.36,0.11818673855371097
19,0.5525,0.3525,0.2,112,0.38,0.13986761710007808
20,0.565,0.3625,0.20249999999999996,117,0.37,0.13857573893313346
